timestamp,dataset,data_source,architecture,n_trials,n_completed,n_pruned,selection_time_seconds,best_val_metric,best_params,final_best_val_metric,final_test_metric,final_train_time_seconds,inference_time_seconds,total_time_seconds,metric
2025-10-29 16:46:45,event-user-attendance,flatten-table,ResNet,100,16,84,138.18,0.262343,"{'num_layers': 2, 'channels': 128, 'block_width_layer_0': 256, 'block_width_layer_1': 64}",0.262446,0.264282,5.03,0.03,143.30,mae
2025-10-29 16:49:12,event-user-repeat,flatten-table,ResNet,100,24,76,79.10,0.722575,"{'num_layers': 2, 'channels': 128, 'block_width_layer_0': 128, 'block_width_layer_1': 256}",0.662932,0.659492,4.81,0.01,83.98,roc_auc
2025-10-29 16:50:41,hm-item-sales,flatten-table,ResNet,100,17,83,1183.20,0.085812,"{'num_layers': 2, 'channels': 128, 'block_width_layer_0': 128, 'block_width_layer_1': 64}",0.085848,0.077798,69.26,1.30,1253.84,mae
2025-10-29 17:11:41,hm-user-churn,flatten-table,ResNet,100,17,83,577.31,0.563631,"{'num_layers': 3, 'channels': 256, 'block_width_layer_0': 64, 'block_width_layer_1': 64, 'block_width_layer_2': 128}",0.559257,0.557385,18.10,0.62,596.10,roc_auc
2025-10-29 17:21:42,ratebeer-beer-positive,flatten-table,ResNet,100,20,80,205.43,0.128055,"{'num_layers': 2, 'channels': 64, 'block_width_layer_0': 256, 'block_width_layer_1': 64}",0.207164,0.203963,21.65,0.07,227.22,mae
2025-10-29 17:25:35,ratebeer-user-active,flatten-table,ResNet,100,15,85,164.69,0.920052,"{'num_layers': 2, 'channels': 256, 'block_width_layer_0': 128, 'block_width_layer_1': 128}",0.919601,0.898291,9.75,0.04,174.54,roc_auc
2025-10-29 17:28:35,trial-site-success,flatten-table,ResNet,100,16,84,233.75,0.425635,"{'num_layers': 2, 'channels': 256, 'block_width_layer_0': 256, 'block_width_layer_1': 64}",0.433445,0.436273,6.15,0.28,240.25,mae
2025-10-29 17:32:41,trial-study-outcome,flatten-table,ResNet,100,10,90,149.92,0.669370,"{'num_layers': 2, 'channels': 64, 'block_width_layer_0': 64, 'block_width_layer_1': 256}",0.655900,0.715212,2.57,0.02,152.58,roc_auc
2025-10-29 17:35:19,avito-user-clicks,fit-best-table,FTTransformer,30,8,22,474.69,0.684506,"{'num_layers': 2, 'channels': 256}",0.679718,0.684981,36.83,1.53,513.08,roc_auc
2025-10-29 17:43:57,event-user-attendance,fit-best-table,FTTransformer,30,12,18,8449.18,0.262008,"{'num_layers': 6, 'channels': 32}",0.261974,0.263713,1199.59,1.60,9650.41,mae
